BNF_CODE,CHEMICAL_SUBSTANCE_BNF_DESCR,BNF_DESCRIPTION,BNF_CHAPTER_PLUS_CODE
0209000Z0AAAAAA,Ticagrelor,Ticagrelor 90mg tablets,02: Cardiovascular System
0209000Z0AAABAB,Ticagrelor,Ticagrelor 60mg tablets,02: Cardiovascular System
0212000AAAAAAAA,Rosuvastatin calcium,Rosuvastatin 10mg tablets,02: Cardiovascular System
0212000AAAAABAB,Rosuvastatin calcium,Rosuvastatin 20mg tablets,02: Cardiovascular System
0212000AAAAACAC,Rosuvastatin calcium,Rosuvastatin 40mg tablets,02: Cardiovascular System
0212000AAAAADAD,Rosuvastatin calcium,Rosuvastatin 5mg tablets,02: Cardiovascular System
0212000ADAAAAAA,Colesevelam hydrochloride,Colesevelam 625mg tablets,02: Cardiovascular System
0212000B0AAAAAA,Atorvastatin,Atorvastatin 10mg tablets,02: Cardiovascular System
0212000B0AAABAB,Atorvastatin,Atorvastatin 20mg tablets,02: Cardiovascular System
0212000B0AAACAC,Atorvastatin,Atorvastatin 40mg tablets,02: Cardiovascular System
0212000B0AAADAD,Atorvastatin,Atorvastatin 80mg tablets,02: Cardiovascular System
0212000B0BBAAAA,Atorvastatin,Lipitor 10mg tablets,02: Cardiovascular System
0212000F0AAABAB,Colestyramine,Colestyramine 4g oral powder sachets,02: Cardiovascular System
0212000Q0AAABAB,Gemfibrozil,Gemfibrozil 600mg tablets,02: Cardiovascular System
0212000X0AAAAAA,Pravastatin sodium,Pravastatin 10mg tablets,02: Cardiovascular System
0212000X0AAABAB,Pravastatin sodium,Pravastatin 20mg tablets,02: Cardiovascular System
0212000Y0AAAAAA,Simvastatin,Simvastatin 10mg tablets,02: Cardiovascular System
0212000Y0AAABAB,Simvastatin,Simvastatin 20mg tablets,02: Cardiovascular System
0212000Y0AAADAD,Simvastatin,Simvastatin 40mg tablets,02: Cardiovascular System
0212000Y0AAAHAH,Simvastatin,Simvastatin 80mg tablets,02: Cardiovascular System
0301011ABBBAAA0,Beclometdiprop/formoterol/glycopyrronium,Trimbow 87microg/dose / 5microg/dose / 9microg/dose inh,03: Respiratory System
0301011ABBBABAA,Beclometdiprop/formoterol/glycopyrronium,Trimbow NEXThaler 88microg/5microg/9microg/dose dry pdr inh,03: Respiratory System
0301011ABBBACAB,Beclometdiprop/formoterol/glycopyrronium,Trimbow 172microg/dose / 5microg/dose / 9microg/dose inh,03: Respiratory System
0301011E0BCABAC,Formoterol fumarate,Oxis 12 Turbohaler,03: Respiratory System
0301011R0AAAPAP,Salbutamol,Salbutamol 100micrograms/dose inhaler CFC free,03: Respiratory System
0301011R0AAAXAX,Salbutamol,Salbutamol 2.5mg/2.5ml nebuliser liquid unit dose vials,03: Respiratory System
0301011R0AABDBD,Salbutamol,Salbutamol 5mg/2.5ml nebuliser liquid unit dose vials,03: Respiratory System
0301011R0AABUBU,Salbutamol,Salbutamol 100micrograms/dose breath actuated inh CFC free,03: Respiratory System
0301011R0AABZBZ,Salbutamol,Salbutamol 100micrograms/dose dry powder inhaler,03: Respiratory System
0301011R0BEAHAQ,Salbutamol,Ventolin 200micrograms/dose Accuhaler,03: Respiratory System
0301011R0BEAIAP,Salbutamol,Ventolin 100micrograms/dose Evohaler,03: Respiratory System
0301011R0BIAFAP,Salbutamol,Salamol 100micrograms/dose inhaler CFC free (Teva),03: Respiratory System
0301011R0BMABBU,Salbutamol,Airomir 100micrograms/dose Autohaler,03: Respiratory System
0301011U0AAAEAE,Salmeterol,Salmeterol 50micrograms/dose dry powder inhaler,03: Respiratory System
0301011U0BBAEAE,Salmeterol,Serevent 50micrograms/dose Accuhaler,03: Respiratory System
0301011V0AABBBB,Terbutaline sulphate,Terbutaline 500micrograms/dose dry powder inhaler,03: Respiratory System
0301020I0AAANAN,Ipratropium bromide,Ipratropium bromide 20micrograms/dose inhaler CFC free,03: Respiratory System
0301020I0BIAAAN,Ipratropium bromide,Inhalvent 20micrograms/dose inhaler,03: Respiratory System
0301020Q0AAAAAA,Tiotropium bromide,Tiotropium bromide 18microgram inhalation pdr caps with dev,03: Respiratory System
0301020Q0AAABAB,Tiotropium bromide,Tiotropium bromide 18microgram inhalation powder capsules,03: Respiratory System
0301020Q0BBAAAA,Tiotropium bromide,Spiriva 18microgram inhalation pdr caps with HandiHaler,03: Respiratory System
0301020Q0BBACAC,Tiotropium bromide,Spiriva Respimat 2.5microg/dose inhalation soln,03: Respiratory System
0301020Q0BBADAE,Tiotropium bromide,Spiriva Respimat 2.5microg/dose inhalation soln refill cart,03: Respiratory System
0301020Q0BCAAAD,Tiotropium bromide,Braltus 10microgram inhalation pdr caps with Zonda inhaler,03: Respiratory System
0301020T0BBAAAA,Umeclidinium bromide,Incruse Ellipta 55micrograms/dose dry powder inhaler,03: Respiratory System
0301030S0BKAAAR,Theophylline,Uniphyllin Continus 400mg tablets,03: Respiratory System
0301030S0BKABAM,Theophylline,Uniphyllin Continus 200mg tablets,03: Respiratory System
0301040W0BBAAAA,Umeclidinium bromide/vilanterol,Anoro Ellipta 55microg/dose / 22microg/dose dry pdr inh,03: Respiratory System
0301040X0BBAAAA,Tiotropium bromide/olodaterol,Spiolto Respimat 2.5microg/dose/2.5microg/dose soln,03: Respiratory System
0301040Y0BBAAAA,Indacaterol/glycopyrronium,Ultibro Breezhaler 85microg/43microg pdr caps with dev,03: Respiratory System
0302000C0AABFBF,Beclometasone dipropionate,Beclometasone 100micrograms/dose inhaler CFC free,03: Respiratory System
0302000C0AABYBY,Beclometasone dipropionate,Beclometasone 100microg/Formoterol 6microg/dose dry pdr inh,03: Respiratory System
0302000C0AABZBZ,Beclometasone dipropionate,Beclometasone 200microg/Formoterol 6microg/dose inh CFC free,03: Respiratory System
0302000C0AACACA,Beclometasone dipropionate,Beclometasone 200microg/Formoterol 6microg/dose dry pdr inh,03: Respiratory System
0302000C0BJAABE,Beclometasone dipropionate,Qvar 50 inhaler,03: Respiratory System
0302000C0BJABBF,Beclometasone dipropionate,Qvar 100 inhaler,03: Respiratory System
0302000C0BJADBH,Beclometasone dipropionate,Qvar 100 Autohaler,03: Respiratory System
0302000C0BPAABE,Beclometasone dipropionate,Clenil Modulite 50micrograms/dose inhaler,03: Respiratory System
0302000C0BPABBF,Beclometasone dipropionate,Clenil Modulite 100micrograms/dose inhaler,03: Respiratory System
0302000C0BPACBV,Beclometasone dipropionate,Clenil Modulite 200micrograms/dose inhaler,03: Respiratory System
0302000C0BPADBW,Beclometasone dipropionate,Clenil Modulite 250micrograms/dose inhaler,03: Respiratory System
0302000K0AAAMAM,Budesonide,Budesonide 200mcg/dose / Formoterol 6mcg/dose dry powder inh,03: Respiratory System
0302000K0BBAHAG,Budesonide,Pulmicort 200 Turbohaler,03: Respiratory System
0302000K0BBAIAH,Budesonide,Pulmicort 400 Turbohaler,03: Respiratory System
0302000K0BBAKAK,Budesonide,Pulmicort 100 Turbohaler,03: Respiratory System
0302000K0BDAAAL,Budesonide,Symbicort 100/6 Turbohaler,03: Respiratory System
0302000K0BDABAM,Budesonide,Symbicort 200/6 Turbohaler,03: Respiratory System
0302000N0BCAAAX,Fluticasone propionate (Inhalation),Seretide 100 Accuhaler,03: Respiratory System
0302000N0BCADBE,Fluticasone propionate (Inhalation),Seretide 50 Evohaler,03: Respiratory System
0302000N0BCAEBF,Fluticasone propionate (Inhalation),Seretide 125 Evohaler,03: Respiratory System
0302000N0BCAFBG,Fluticasone propionate (Inhalation),Seretide 250 Evohaler,03: Respiratory System
0302000N0BFAABF,Fluticasone propionate (Inhalation),Sirdupla 25micrograms/dose / 125micrograms/dose inhaler,03: Respiratory System
0302000N0BFABBG,Fluticasone propionate (Inhalation),Sirdupla 25micrograms/dose / 250micrograms/dose inhaler,03: Respiratory System
0302000N0BGAAAZ,Fluticasone propionate (Inhalation),AirFluSal Forspiro 50microg / 500microg/dose dry pdr inh,03: Respiratory System
0302000N0BIAABF,Fluticasone propionate (Inhalation),Sereflo 25micrograms/dose / 125micrograms/dose inhaler,03: Respiratory System
0302000N0BIABBG,Fluticasone propionate (Inhalation),Sereflo 25micrograms/dose / 250micrograms/dose inhaler,03: Respiratory System
0302000N0BLAABE,Fluticasone propionate (Inhalation),Combisal 25micrograms/dose / 50micrograms/dose inhaler,03: Respiratory System
0302000V0BBAAAA,Fluticasone furoate (Inhalation),Relvar Ellipta 184microg/dose / 22microg/dose dry pdr inh,03: Respiratory System
0302000V0BBABAB,Fluticasone furoate (Inhalation),Relvar Ellipta 92microg/dose / 22microg/dose dry pdr inh,03: Respiratory System
0302000V0BCAAA0,Fluticasone furoate (Inhalation),Trelegy Ellipta 92microg/55microg/22microg/dose dry pdr inh,03: Respiratory System
0303020G0AAABAB,Montelukast,Montelukast 10mg tablets,03: Respiratory System
0304010ACAAAAAA,Levocetirizine,Levocetirizine 5mg tablets,03: Respiratory System
0304010D0AAAAAA,Loratadine,Loratadine 10mg tablets,03: Respiratory System
0304010G0AAABAB,Chlorphenamine maleate,Chlorphenamine 2mg/5ml oral solution,03: Respiratory System
0304010G0AAACAC,Chlorphenamine maleate,Chlorphenamine 4mg tablets,03: Respiratory System
0304010G0AAAPAP,Chlorphenamine maleate,Chlorphenamine 2mg/5ml oral solution sugar free,03: Respiratory System
0304010G0BCAAAC,Chlorphenamine maleate,Piriton 4mg tablets,03: Respiratory System
0304010I0AAAAAA,Cetirizine hydrochloride,Cetirizine 10mg tablets,03: Respiratory System
0304010I0AAABAB,Cetirizine hydrochloride,Cetirizine 1mg/ml oral solution sugar free,03: Respiratory System
0304010J0AAABAB,Hydroxyzine hydrochloride,Hydroxyzine 10mg tablets,03: Respiratory System
0304010J0AAACAC,Hydroxyzine hydrochloride,Hydroxyzine 25mg tablets,03: Respiratory System
0304010W0AAALAL,Promethazine hydrochloride,Promethazine hydrochloride 25mg tablets,03: Respiratory System
0307000J0AAAAAA,Carbocisteine,Carbocisteine 375mg capsules,03: Respiratory System
0307000J0AAAJAJ,Carbocisteine,Carbocisteine 750mg capsules,03: Respiratory System
0307000J0BBAAAA,Carbocisteine,Mucodyne 375mg capsules,03: Respiratory System
0401010ADAAAAAA,Melatonin,Melatonin 2mg modified-release tablets,04: Central Nervous System
0401010ADAABKBK,Melatonin,Melatonin 2mg tablets,04: Central Nervous System
0401010ADAABRBR,Melatonin,Melatonin 3mg capsules,04: Central Nervous System
0401010ADAACPCP,Melatonin,Melatonin 4mg tablets,04: Central Nervous System
0401010ADBBAAAA,Melatonin,Circadin 2mg modified-release tablets,04: Central Nervous System
0401010R0AAACAC,Nitrazepam,Nitrazepam 5mg tablets,04: Central Nervous System
0401010Y0AAABAB,Zolpidem tartrate,Zolpidem 10mg tablets,04: Central Nervous System
0401010Z0AAAAAA,Zopiclone,Zopiclone 7.5mg tablets,04: Central Nervous System
0401010Z0AAACAC,Zopiclone,Zopiclone 3.75mg tablets,04: Central Nervous System
0401020B0AAAAAA,Buspirone hydrochloride,Buspirone 5mg tablets,04: Central Nervous System
0401020E0AAADAD,Chlordiazepoxide hydrochloride,Chlordiazepoxide 5mg capsules,04: Central Nervous System
0401020P0AAADAD,Lorazepam,Lorazepam 500microgram tablets,04: Central Nervous System
040201030AAAAAA,Risperidone,Risperidone 1mg tablets,04: Central Nervous System
040201030AAAKAK,Risperidone,Risperidone 500microgram tablets,04: Central Nervous System
040201060AAAAAA,Olanzapine,Olanzapine 5mg tablets,04: Central Nervous System
040201060AAABAB,Olanzapine,Olanzapine 7.5mg tablets,04: Central Nervous System
040201060AAADAD,Olanzapine,Olanzapine 2.5mg tablets,04: Central Nervous System
0402010A0AAABAB,Amisulpride,Amisulpride 50mg tablets,04: Central Nervous System
0402010ABAAABAB,Quetiapine,Quetiapine 25mg tablets,04: Central Nervous System
0402010ABAAADAD,Quetiapine,Quetiapine 200mg tablets,04: Central Nervous System
0402010ADAAAAAA,Aripiprazole,Aripiprazole 10mg tablets,04: Central Nervous System
0402010ADAAABAB,Aripiprazole,Aripiprazole 15mg tablets,04: Central Nervous System
0402010D0AAAIAI,Chlorpromazine hydrochloride,Chlorpromazine 25mg tablets,04: Central Nervous System
0402010L0AAAAAA,Levomepromazine hydrochloride,Levomepromazine 25mg/1ml solution for injection ampoules,04: Central Nervous System
0402010S0AAADAD,Promazine hydrochloride,Promazine 25mg/5ml oral solution,04: Central Nervous System
0402030K0AAAFAF,Lithium carbonate,Lithium carbonate 400mg modified-release tablets,04: Central Nervous System
0402030K0AAAIAI,Lithium carbonate,Lithium carbonate 200mg modified-release tablets,04: Central Nervous System
0403010B0AAAGAG,Amitriptyline hydrochloride,Amitriptyline 10mg tablets,04: Central Nervous System
0403010B0AAAHAH,Amitriptyline hydrochloride,Amitriptyline 25mg tablets,04: Central Nervous System
0403010B0AAAIAI,Amitriptyline hydrochloride,Amitriptyline 50mg tablets,04: Central Nervous System
0403010V0AAADAD,Nortriptyline,Nortriptyline 10mg tablets,04: Central Nervous System
0403010V0AAAEAE,Nortriptyline,Nortriptyline 25mg tablets,04: Central Nervous System
0403010X0AAABAB,Trazodone hydrochloride,Trazodone 100mg capsules,04: Central Nervous System
0403010X0AAAFAF,Trazodone hydrochloride,Trazodone 50mg/5ml oral solution sugar free,04: Central Nervous System
0403010Y0AAACAC,Trimipramine maleate,Trimipramine 25mg tablets,04: Central Nervous System
0403030D0AAAAAA,Citalopram hydrobromide,Citalopram 20mg tablets,04: Central Nervous System
0403030D0AAABAB,Citalopram hydrobromide,Citalopram 10mg tablets,04: Central Nervous System
0403030D0AAACAC,Citalopram hydrobromide,Citalopram 40mg tablets,04: Central Nervous System
0403030P0AAAKAK,Paroxetine hydrochloride,Paroxetine 10mg tablets,04: Central Nervous System
0403030P0AAALAL,Paroxetine hydrochloride,Paroxetine 40mg tablets,04: Central Nervous System
0403030Q0AAAAAA,Sertraline hydrochloride,Sertraline 50mg tablets,04: Central Nervous System
0403030Q0AAABAB,Sertraline hydrochloride,Sertraline 100mg tablets,04: Central Nervous System
0403030Q0AAAZAZ,Sertraline hydrochloride,Sertraline 25mg tablets,04: Central Nervous System
0403040W0AAAAAA,Venlafaxine,Venlafaxine 37.5mg tablets,04: Central Nervous System
0403040W0AAABAB,Venlafaxine,Venlafaxine 75mg tablets,04: Central Nervous System
0403040W0AAADAD,Venlafaxine,Venlafaxine 75mg modified-release capsules,04: Central Nervous System
0403040W0AAAEAE,Venlafaxine,Venlafaxine 150mg modified-release capsules,04: Central Nervous System
0403040W0BGAAAD,Venlafaxine,Vensir XL 75mg capsules,04: Central Nervous System
0403040W0BNABAK,Venlafaxine,Venlalic XL 150mg tablets,04: Central Nervous System
0403040X0AAAAAA,Mirtazapine,Mirtazapine 30mg tablets,04: Central Nervous System
0403040X0AAAJAJ,Mirtazapine,Mirtazapine 30mg orodispersible tablets,04: Central Nervous System
0403040X0AAALAL,Mirtazapine,Mirtazapine 15mg orodispersible tablets,04: Central Nervous System
0403040X0AAANAN,Mirtazapine,Mirtazapine 15mg tablets,04: Central Nervous System
0403040X0AAAPAP,Mirtazapine,Mirtazapine 45mg tablets,04: Central Nervous System
0404000M0AAAAAA,Methylphenidate hydrochloride,Methylphenidate 10mg tablets,04: Central Nervous System
0404000M0AAAJAJ,Methylphenidate hydrochloride,Methylphenidate 5mg tablets,04: Central Nervous System
0404000M0AAAMAM,Methylphenidate hydrochloride,Methylphenidate 18mg modified-release tablets,04: Central Nervous System
0404000M0AAANAN,Methylphenidate hydrochloride,Methylphenidate 36mg modified-release tablets,04: Central Nervous System
0404000M0AAARAR,Methylphenidate hydrochloride,Methylphenidate 54mg modified-release tablets,04: Central Nervous System
0404000M0AAAWAW,Methylphenidate hydrochloride,Methylphenidate 40mg modified-release capsules,04: Central Nervous System
0404000M0BDABAN,Methylphenidate hydrochloride,Concerta XL 36mg tablets,04: Central Nervous System
0404000M0BGAEAQ,Methylphenidate hydrochloride,Medikinet XL 20mg capsules,04: Central Nervous System
0404000M0BGAFAV,Methylphenidate hydrochloride,Medikinet XL 30mg capsules,04: Central Nervous System
0404000M0BGAJBA,Methylphenidate hydrochloride,Medikinet XL 60mg capsules,04: Central Nervous System
0404000M0BKAAAM,Methylphenidate hydrochloride,Xaggitin XL 18mg tablets,04: Central Nervous System
0404000M0BKACAN,Methylphenidate hydrochloride,Xaggitin XL 36mg tablets,04: Central Nervous System
0404000M0BKADAR,Methylphenidate hydrochloride,Xaggitin XL 54mg tablets,04: Central Nervous System
0404000S0BBAEAE,Atomoxetine hydrochloride,Strattera 60mg capsules,04: Central Nervous System
0404000U0AAAAAA,Lisdexamfetamine dimesylate,Lisdexamfetamine 20mg capsules,04: Central Nervous System
0404000U0AAABAB,Lisdexamfetamine dimesylate,Lisdexamfetamine 30mg capsules,04: Central Nervous System
0404000U0AAADAD,Lisdexamfetamine dimesylate,Lisdexamfetamine 50mg capsules,04: Central Nervous System
0404000U0AAAEAE,Lisdexamfetamine dimesylate,Lisdexamfetamine 60mg capsules,04: Central Nervous System
0404000U0AAAFAF,Lisdexamfetamine dimesylate,Lisdexamfetamine 70mg capsules,04: Central Nervous System
0404000V0AAAAAA,Guanfacine,Guanfacine 3mg modified-release tablets,04: Central Nervous System
0404000V0AAABAB,Guanfacine,Guanfacine 4mg modified-release tablets,04: Central Nervous System
0404000V0AAADAD,Guanfacine,Guanfacine 2mg modified-release tablets,04: Central Nervous System
0405010P0AAAAAA,Orlistat,Orlistat 120mg capsules,04: Central Nervous System
0406000B0AAAAAA,Betahistine hydrochloride,Betahistine 8mg tablets,04: Central Nervous System
0406000B0AAABAB,Betahistine hydrochloride,Betahistine 16mg tablets,04: Central Nervous System
0406000D0AAAAAA,Cinnarizine,Cinnarizine 15mg tablets,04: Central Nervous System
0406000S0AAABAB,Ondansetron hydrochloride,Ondansetron 4mg tablets,04: Central Nervous System
0406000T0AAAGAG,Prochlorperazine maleate,Prochlorperazine 5mg tablets,04: Central Nervous System
0406000T0AAAKAK,Prochlorperazine maleate,Prochlorperazine 3mg buccal tablets,04: Central Nervous System
0407010F0AAAAAA,Co-codamol (Codeine phosphate/paracetamol),Co-codamol 8mg/500mg tablets,04: Central Nervous System
0407010F0AAABAB,Co-codamol (Codeine phosphate/paracetamol),Co-codamol 8mg/500mg capsules,04: Central Nervous System
0407010F0AAACAC,Co-codamol (Codeine phosphate/paracetamol),Co-codamol 8mg/500mg effervescent tablets,04: Central Nervous System
0407010F0AAADAD,Co-codamol (Codeine phosphate/paracetamol),Co-codamol 30mg/500mg capsules,04: Central Nervous System
0407010F0AAAFAF,Co-codamol (Codeine phosphate/paracetamol),Co-codamol 30mg/500mg effervescent tablets,04: Central Nervous System
0407010F0AAAHAH,Co-codamol (Codeine phosphate/paracetamol),Co-codamol 30mg/500mg tablets,04: Central Nervous System
0407010F0AAAKAK,Co-codamol (Codeine phosphate/paracetamol),Co-codamol 15mg/500mg tablets,04: Central Nervous System
0407010F0AAAVAV,Co-codamol (Codeine phosphate/paracetamol),Co-codamol 15mg/500mg capsules,04: Central Nervous System
0407010F0BSAAAH,Co-codamol (Codeine phosphate/paracetamol),Zapain 30mg/500mg tablets,04: Central Nervous System
0407010F0BSABAD,Co-codamol (Codeine phosphate/paracetamol),Zapain 30mg/500mg capsules,04: Central Nervous System
0407010F0BVAAAK,Co-codamol (Codeine phosphate/paracetamol),Codipar 15mg/500mg tablets,04: Central Nervous System
0407010H0AAAAAA,Paracetamol,Paracetamol 500mg capsules,04: Central Nervous System
0407010H0AAACAC,Paracetamol,Paracetamol 250mg/5ml oral suspension,04: Central Nervous System
0407010H0AAAMAM,Paracetamol,Paracetamol 500mg tablets,04: Central Nervous System
0407010H0AAAQAQ,Paracetamol,Paracetamol 500mg soluble tablets,04: Central Nervous System
0407010H0AABGBG,Paracetamol,Paracetamol 250mg/5ml oral suspension sugar free,04: Central Nervous System
0407010N0AAAAAA,Co-dydramol (Dihydrocodeine/paracetamol),Co-dydramol 10mg/500mg tablets,04: Central Nervous System
0407010P0AAABAB,Nefopam hydrochloride,Nefopam 30mg tablets,04: Central Nervous System
040702040AAAAAA,Tramadol hydrochloride,Tramadol 50mg capsules,04: Central Nervous System
